,reviews_classified_all
301,o aplicativo esta instavel voce conta em poder acessar a sua conta para fazer pagamentos e transferencias ou seja resolver a sua vida financeira mas nao da para contar com esse aplicativo a biometria toda hora para de funcionar uso aplicativo de outro banco que nunca da problema entao o problema e a incompetencia mesmo
302,aplicativo com instabilidade frequentemente fecha sozinho sai da conta nao acessa com biometria se precisar fazer alguma transacao com urgencia pode esquecer
307,precisa melhorar instabilidade login biometria fora de conexao erros constantes complicado
310,o aplicativo sempre apresenta problemas no login da erro varias vezes alem do problema com a biometria e reconhecimento facial precisa melhorar e muito
311,revoltada com esse aplicativo que ele e ruim eu ja sabia mas ultimamente esta pior depositei um dinheiro pra pagar as contas e estou a mais de 2h tentando entrar e nao vai sai sozinho da erro na biometria manda tentar de novo um lixo uma humilhacao com o cliente
313,pessimo muitos erros na biometria cai de repente durante o usa e sem falar que para pagamento mais erros como falha ao ler o codigo de barras impossivel as vezes deveriam melhor muito comparado a de outros bancos por ai
314,o aplicativo sai do ar sempre alem de alguns erros pra entrar com biometria precisa ser melhorado urgente
316,de tempos em tempos o aplicativo da problema com a biometria do iphone mesmo desativando a biometria eu tenho que digitar a senha umas 5 vezes para entrar no aplicativo pra ficar ruim esse aplicativo precisa melhorar muito pois e pessimo nunca corrigem esses bugs e muita incompetencia...
25,pessimo aplicativo um lixo tive que reinstala e ai tenho que fazer tudo de novo inclusive ir no caixa fazer minha assinatura eletronica de novo e um lixo mesmo ta doido como pode ser coisa para o povo se e um lixo desse nao precisa me mandar mensagem nao porque minha opiniao nao vai mudar nao sou obrigada a ficar indo em agencia desbloquear nada toda hora sai fora vou mandar cancelar essa conta
31,horrivel demais o aplicativo pediu para cadastrar o dispositivo eu cadastrei tive que ir la na agencia em outra cidade para fazer o procedimento do desbloqueio e ao termino mandou eu aguardar 30 min e a maquina me expele um comprovante dizendo que agora a minha assinatura eletronica estava bloqueada um absurdo como eu estava com pressa deixa para o proximo dia que eu tiver disponibilidade para resolver este transtorno que a caixa esta me causando
45,o meu problema e com o pix minha cidade nao tem caixa eletronico e nao tem com eu ir e outra cidade desbloquear a assinatura eletronica voces tem que ver isso ai fica dificil
79,so que nao consigo usar algumas coisas pois pede assinatura eletronica
86,ruimsenha quase sempre nao e reconhecidaassinatura eletronica para qualquer pagamento digital sempre da errotrava constantementee quando bloqueia a assinatura eletronicatem de ir direto ema agencianum se tem servico de desbloqueio online nem em caixa eletronico da propria caixa devese perder um dia de trabalho devido o atentendimento ser de pessima qualidadesomente para desbloquear uma senhadeviam aprender com outros bancoscoisa que eu duvido muito
127,amo esse aplicativo so nao gostei de ter que cadastrar a assinatura eletronicaou senha eletronicaso la no caixa economica pessoalmenteem pleno pandemia era pra fazer via internet
128,e bom mas cometeu um erro grave comigo em um tev pediu a assinatura eletronica e automaticamente confirmou o destino sem minha autorizacao em equivoco foi feito um pagamento indevido e o gerente da minha conta fez um pedido ao gerente final mas sem esperanca de retorno teria que recorrer as pequenas causasno aplicativo do bradesco funciona assim ele pergunta depois da assinatura e essa pessoa o destinatario você olha e confirma esse da caixa apresentou o receptor depois de concluido
144,aplicativo pessimo sai toda hora da biometria pior burocracia pra recuperar senha sem falar da assinatura eletronica que e um bo pra poder criar e se esquecer ja e outros porens bem que deveriam atualizar esse aplicativo e facilitar com a nossa vida fazendo essas mudancas no aplicativo pessima experiencia ja nao uso mais
185,o aplicativo estava bom mas agora nao da pra fazer nada nele inves de adquirir novas funcionalidade pra ajudar as pessoas nao voces simplesmente piora tudo pois nem saldo da pra ve se nao fizer uma assinatura eletronica que melhora isso pode proporcionar existem pessoas que nao podem ir num caixa eletronico porque na cidade nao tem aqui por exemplonao tem pra fazer isso preciso ir pra outra cidade porque aqui nao tem poxa o aplicativo usava muito e agora tive que desinstala
192,nao consigo fazer a assinatura eletronica
234,de que adianta ter um aplicativo se qualquer coisinha que voce faz o banco cancela sua assinatura eletronica se eu quisesse ir na agencia resolver as coisas eu nao baixava aplicativo para ser ruim precisa melhorar muito ainda pessimo servico
24,otimo aplicativo mais poderia ter opcoes de liberacoes de dispositivos por reconhecimento facial
67,vem atendendo as minhas espectativas o aplicativo melhorou bastante desde a sua criacao a unica coisa que eu nao gosto e quando você muda de aparelho celular porque tem que cadastrar o novo aparelho e e muita burocracia deveriam fazer somente o reconhecimento facial como os bancos digitais fazem
180,boletos que nao consigo pagar sistema falha as vezes no reconhecimento de codigo de barras sistema com problemas de operacao tendo que esperar muito tempo para voltar a funcionar
200,queria entender com tanta tecnologia e o aplicativo de vcs nao pode simplesmente validar o uso do aplicativo por reconhecimento facial tive um imprevisto estou numa localidade longe e nao tenho acesso a conta pela burocracia de vcs sinceramente viu
310,o aplicativo sempre apresenta problemas no login da erro varias vezes alem do problema com a biometria e reconhecimento facial precisa melhorar e muito
24,otimo aplicativo mais poderia ter opcoes de liberacoes de dispositivos por reconhecimento facial
67,vem atendendo as minhas espectativas o aplicativo melhorou bastante desde a sua criacao a unica coisa que eu nao gosto e quando você muda de aparelho celular porque tem que cadastrar o novo aparelho e e muita burocracia deveriam fazer somente o reconhecimento facial como os bancos digitais fazem
200,queria entender com tanta tecnologia e o aplicativo de vcs nao pode simplesmente validar o uso do aplicativo por reconhecimento facial tive um imprevisto estou numa localidade longe e nao tenho acesso a conta pela burocracia de vcs sinceramente viu
294,parabens unico aplicativo que ja utilizei que tem a capacidade de estressar kkkk alem de ruim e burocratico ate p fazer liberacao do dispositivo ir na agencia muda isso e coisa antiga so fazer uma confirmacao facial pronto
310,o aplicativo sempre apresenta problemas no login da erro varias vezes alem do problema com a biometria e reconhecimento facial precisa melhorar e muito
25,pessimo aplicativo um lixo tive que reinstala e ai tenho que fazer tudo de novo inclusive ir no caixa fazer minha assinatura eletronica de novo e um lixo mesmo ta doido como pode ser coisa para o povo se e um lixo desse nao precisa me mandar mensagem nao porque minha opiniao nao vai mudar nao sou obrigada a ficar indo em agencia desbloquear nada toda hora sai fora vou mandar cancelar essa conta
31,horrivel demais o aplicativo pediu para cadastrar o dispositivo eu cadastrei tive que ir la na agencia em outra cidade para fazer o procedimento do desbloqueio e ao termino mandou eu aguardar 30 min e a maquina me expele um comprovante dizendo que agora a minha assinatura eletronica estava bloqueada um absurdo como eu estava com pressa deixa para o proximo dia que eu tiver disponibilidade para resolver este transtorno que a caixa esta me causando
45,o meu problema e com o pix minha cidade nao tem caixa eletronico e nao tem com eu ir e outra cidade desbloquear a assinatura eletronica voces tem que ver isso ai fica dificil
73,foi muito bom agora esta pessimo nao consigo fazer nada tem que ir no caixa eletronico desbloquear assinatura toda vez da erro cansada da caixa nao consigo fazer nada em um momento tao dificil para mim agora o aplicativo esta otimo
79,so que nao consigo usar algumas coisas pois pede assinatura eletronica
86,ruimsenha quase sempre nao e reconhecidaassinatura eletronica para qualquer pagamento digital sempre da errotrava constantementee quando bloqueia a assinatura eletronicatem de ir direto ema agencianum se tem servico de desbloqueio online nem em caixa eletronico da propria caixa devese perder um dia de trabalho devido o atentendimento ser de pessima qualidadesomente para desbloquear uma senhadeviam aprender com outros bancoscoisa que eu duvido muito
127,amo esse aplicativo so nao gostei de ter que cadastrar a assinatura eletronicaou senha eletronicaso la no caixa economica pessoalmenteem pleno pandemia era pra fazer via internet
128,e bom mas cometeu um erro grave comigo em um tev pediu a assinatura eletronica e automaticamente confirmou o destino sem minha autorizacao em equivoco foi feito um pagamento indevido e o gerente da minha conta fez um pedido ao gerente final mas sem esperanca de retorno teria que recorrer as pequenas causasno aplicativo do bradesco funciona assim ele pergunta depois da assinatura e essa pessoa o destinatario você olha e confirma esse da caixa apresentou o receptor depois de concluido
144,aplicativo pessimo sai toda hora da biometria pior burocracia pra recuperar senha sem falar da assinatura eletronica que e um bo pra poder criar e se esquecer ja e outros porens bem que deveriam atualizar esse aplicativo e facilitar com a nossa vida fazendo essas mudancas no aplicativo pessima experiencia ja nao uso mais
185,o aplicativo estava bom mas agora nao da pra fazer nada nele inves de adquirir novas funcionalidade pra ajudar as pessoas nao voces simplesmente piora tudo pois nem saldo da pra ve se nao fizer uma assinatura eletronica que melhora isso pode proporcionar existem pessoas que nao podem ir num caixa eletronico porque na cidade nao tem aqui por exemplonao tem pra fazer isso preciso ir pra outra cidade porque aqui nao tem poxa o aplicativo usava muito e agora tive que desinstala
192,nao consigo fazer a assinatura eletronica
197,tenho uma conta moro em uma cidade a mais de 300km da agencia para desbloquear o aplicativo tive que ir a agencia e agora so da assinatura bloqueada
234,de que adianta ter um aplicativo se qualquer coisinha que voce faz o banco cancela sua assinatura eletronica se eu quisesse ir na agencia resolver as coisas eu nao baixava aplicativo para ser ruim precisa melhorar muito ainda pessimo servico
0,caixa esta de parabenspelo menos o aplicativo supera o atendimento fisico que os você eletronico terriveis
2,o aplicativo ate que e bomacho ruim so pra cadastrar senha eletronica do pixdeveria resolver no aplicativo sem precisar ir na agenciatirando isso tudo certo
4,nao disponibilizar a configuracao do internet banking pelo aplicativo torna o aplicativo desinteressante varias agencias ja disponibilizam essa funcao pelo aplicativo mas a caixa obriga o cliente ir a um caixa eletronico desnecessario
6,muito bom o aplicativo so me estresso as vezes sobre a senha eletronica quero mudar porque esqueci e nao posso dar senha bloqueada sei que e uma seguranca mais se e a pessoa que estar usando concerteza quer mudar porque esqueci
8,apos baixar o aplicativo tive que me dirigir a uma agencia para no caixa eletronico para atualizar meu cadastro o que tive que tentar varias vezes pois o aplicativo nao reconhecia a atualizacao de cadastro mas enfim estao utilizando os demais servicos oferecidos como transferencia e pixpor isso aumentei uma estrela
15,pessimo nao tenho mais acesso a minha conta fica mandando ir num caixa eletronico para atualizar o aplicativo eu vou coloco o cartao e nao resolve nada isso e uma palhacada
16,sem fazer o recadastramento do aparelho nao permite realizar acoes simples como ver o saldo da conta fora que para desbloquear o celular o usuario tem que se deslocar para um caixa eletronico beira a loucura qual a necessidade do aplicativo entao
22,continuo com 2 estrela pois o aplicativo e limitado nao consigo resolve coisa simples e o atendimento eletronico e horrivel nao funciona alem disso quando vamos na agencia e uma luta para entra na agencia uma demora no atendimento apenas 2 funcionario atendendo você chega as 10h00 e sai 13horas da tarde isso para vcs te uma nocao na demora bem tudo que para povo e sempre assim pessimo ate parecer que estamos pedindo favor so que nao estamos pagando e pagando bem
25,pessimo aplicativo um lixo tive que reinstala e ai tenho que fazer tudo de novo inclusive ir no caixa fazer minha assinatura eletronica de novo e um lixo mesmo ta doido como pode ser coisa para o povo se e um lixo desse nao precisa me mandar mensagem nao porque minha opiniao nao vai mudar nao sou obrigada a ficar indo em agencia desbloquear nada toda hora sai fora vou mandar cancelar essa conta
26,o aplicativo esta dando muito bugue bloqueio e fica pedindo para ir ao caixa eletronico para desbloquear
29,horrivel dificil de redefinir nova senha eletronica
31,horrivel demais o aplicativo pediu para cadastrar o dispositivo eu cadastrei tive que ir la na agencia em outra cidade para fazer o procedimento do desbloqueio e ao termino mandou eu aguardar 30 min e a maquina me expele um comprovante dizendo que agora a minha assinatura eletronica estava bloqueada um absurdo como eu estava com pressa deixa para o proximo dia que eu tiver disponibilidade para resolver este transtorno que a caixa esta me causando
33,o aplicativo esta bem funcional o unico defeito e porque para liberar precisa ir a um caixa eletronico e nao tem caixa eletronico em toda cidade
37,aplicativo do nada bloqueia e fica pedindo pra cadastrar como assim eu tenho que cadastrar pra ver ao menos o saldo sendo que nunca precisou disso que eu saiba cadastro em caixa eletronico e so pra transacoes e nao pra fazer consulta de saldo cada dia pior
45,o meu problema e com o pix minha cidade nao tem caixa eletronico e nao tem com eu ir e outra cidade desbloquear a assinatura eletronica voces tem que ver isso ai fica dificil
50,na minha cidade nao tem uma agencia da caixa ai pra min o aplicativo se torna inutil pois nao consigo nem ver o saldo da minha conta ser liberar o dispositivo no caixa eletronico
72,aplicativo muito bom porem agora para ver ate o saldo tem que liberar o acesso no caixa eletronico isso nao e nada pratico se eu quisesse e pudesse ir naquele momento no caixa eletronico eu ia e nao tentava nada pelo aplicativo ne falta praticidade
73,foi muito bom agora esta pessimo nao consigo fazer nada tem que ir no caixa eletronico desbloquear assinatura toda vez da erro cansada da caixa nao consigo fazer nada em um momento tao dificil para mim agora o aplicativo esta otimo
79,so que nao consigo usar algumas coisas pois pede assinatura eletronica
85,estou tendo varios problemas com esse aplicativo digitando a senha e informa que esta errada pedindo para a liberacao no caixa eletronico
86,ruimsenha quase sempre nao e reconhecidaassinatura eletronica para qualquer pagamento digital sempre da errotrava constantementee quando bloqueia a assinatura eletronicatem de ir direto ema agencianum se tem servico de desbloqueio online nem em caixa eletronico da propria caixa devese perder um dia de trabalho devido o atentendimento ser de pessima qualidadesomente para desbloquear uma senhadeviam aprender com outros bancoscoisa que eu duvido muito
90,o aplicativo mudou agora so consigo ver o saldo se eu for no caixa eletronico pra altorisar meu celular antes eu conseguia ver o saldo sem precisar de altorisar no caixa eletronico minha casa fica distante em outra cidade e aqui nao tem caixa eletronico dessa vez nao gostei nao
95,a aplicativo da caixa esta sendo o pior aplicativo no momento moro no sitio na bahia aqui nao tem caixa eletronico nen agencia da caixa a minha cidade nao como esta toda hora desbroqueando celular a cada atualizacao da caixa a caixa e o unico banco que gosta de dificultar tudo
98,poderia ser mais facil o acesso pelo aplicativo tipo criar senha para uso to aplicativo pra poder realizar as transacoes sem precisar iate um caixa eletronico para validar muito chato isso ate agora nao faco uso do aplicativo alem de ver meu saldo por causa dessa burocracia
110,depois que cadrastei no caixa eletronico melhorou bastante
111,tava bom mais agora ta muito dificil acessar a conta i nem ver saldo moro numa cidade que nao tem caixa eletronico ai tenho que sair da minha cidade pra cadastrar dispositivo pelo amor de deus me ajuda ai para de complicar a vida dos outros
114,o problema e o que exigem para conseguirmos a senha de acesso sendo preciso ir presencialmente na agencia ou caixa eletronico depois deste incomodo o uso do aplicativo e pratico e facilita as transacoes bancarias
123,ta horrivel agora tem que desbloquear em caixa eletronico pra ter acesso desapontante
127,amo esse aplicativo so nao gostei de ter que cadastrar a assinatura eletronicaou senha eletronicaso la no caixa economica pessoalmenteem pleno pandemia era pra fazer via internet
128,e bom mas cometeu um erro grave comigo em um tev pediu a assinatura eletronica e automaticamente confirmou o destino sem minha autorizacao em equivoco foi feito um pagamento indevido e o gerente da minha conta fez um pedido ao gerente final mas sem esperanca de retorno teria que recorrer as pequenas causasno aplicativo do bradesco funciona assim ele pergunta depois da assinatura e essa pessoa o destinatario você olha e confirma esse da caixa apresentou o receptor depois de concluido
129,pessima experiencia com o aplicativo tudo que voce for fazer no aplicativo tem que se deslocar a um caixa eletronico para autorizar as acoes nao faz sentido se ha um aplicativo justamente para evitar de ir a uma agencia ter que mesmo assim ir a uma agencia bancaria
131,ficou melhor mais o assesso e muito dificil tem que liberar nas lotericas onde nao tem caixa eletronico fica a dica
141,gosto do aplicativo usei muito tempo so que agora toda vez que atualiza tem que ficar indo ate o caixa eletronico pra liberar senha e chato isso me deixou na mao esses tempos nao consigo acompanha a conta por causa disso sei que tem que ter seguranca porem tem que ser um pouco mais acessivel tambem
144,aplicativo pessimo sai toda hora da biometria pior burocracia pra recuperar senha sem falar da assinatura eletronica que e um bo pra poder criar e se esquecer ja e outros porens bem que deveriam atualizar esse aplicativo e facilitar com a nossa vida fazendo essas mudancas no aplicativo pessima experiencia ja nao uso mais
