,reviews_classified
17,fica pedindo a senha umas 3 vezes pra depois abrir o aplicativo e olha la você nao pede mais
18,so queria saber como faco para trocar a senha
19,baixei o aplicativo diz que fui aprovado pedi pra entrar no aplicativo nunca chegou nenhuma senha ai nao consigo entrar o aplicativo
20,com todo respeito mais isso e um aplicativo horrivel eu fiz cinco vezes mesma senha quando vou entrar com minha senha que fiz nao consigo isso so pra colocar nosso documento em risco
21,nao conseguir acesso o aplicativoapenas aparece erro
22,nao consigo acessa o aplicativo a 2 dias aparece uma mensagem pra tentar mais tarde e nada
23,nao estou conseguindo acessar minha conta corrente para nada
24,entao nao vou mas poder ter acesso ao apppor causa dessa maldita alteracao de senhapor eu uso biometriae so entra com a senha patrao que eu nao recordoaff eu to decepcionada e muitoe ninguem resolve o poblema
25,o aplicativo me deixou o dia inteiro sem poder acessar minha conta muitas instabilidades o que traz desconforto para os usuarios
26,estou com bug no aplicativo ele entra no fluxo de validar com a senha do celular mas fica em looper nao consigo acessar o aplicativo
27,nas atualizacoes passadas quando eu iniciava o nubank nao precisava clikar em em desbloquear com a senha pra usar a digital quando entrava ja colocava a digital ja desbloqueava agora tenho que clikar em desbloquear com o pin pra usar a digital ses tao de brincadeira ne nubank
28,o aplicativo e bom mas deveria pedir a senha cadastrada toda vez que entrasse no aplicativo
29,depois da atualizacao esta horrivel diz que estou sem internet e nao deixa eu acertar minha conta quando liberar meu acesso vou trocar de banco pois me prejudicou muito esse erro
30,depois da ultima atualizacao nao consegui mais entrar no aplicativo guando pede pra colocar a senha do desbloqueio do celular pra entrar no aplicativo simplesmente nao entra nem com o suporte que infelizmente nao conseguiu fazer nada o pior e que o meu pagamento vem justamente atraves do nubank lamentavel
31,nao estou conseguindo entrar no aplicativo esta querendo me obrigar a entrar com a senha do meu celular sendo que so uso ele no tablet e fecha sozinho
32,leitor qr code falhandosem transferencia por ted agora assim fica dificil de usar acesso impossibilitado ta dificil conseguir entrar na conta se mesmo digitando a senha volta pra digitar a senha novamente em um ciclo que so faz crescer a raiva
33,so estou dando 4 estrelas por nao poder colocar a senha que eu quero no cartao e nao aumentar o limite mesmo estourando ele todo mes mas tenho que parabenizar o gerenciador de faturas e o mais objetivo e facil de usar do que todos bancos virtuais sensacional esse negocio de poder adiantar quantas parcelas quiser no cartao de credito
34,gostei pena que eu perdi os contatos tenho cartao mas nao tenho como ter acesso senha
35,nao consigo mais acessar a minha conta pelo aplicativo
36,precisa melhorar muito a seguranca e o aplicativo de banco mais facil de ser acessado por terceiros apos o celular ser roubadofurtado para trocar o email cadastrado nao e solicitado nenhuma confirmacao de identidade a senha de desbloqueio do aplicativo nao pode ser outra se nao for a do proprio aparelho ou seja nubank e o banco que facilita para os bandidos
37,nao consegui acessar ainda
38,roubaram o celular da minha namorada e mesmo tendo senha no aplicativo da nubank eles conseguiram acessar a conta o que pra mim e falha na seguranca e pegaram o dinheiro na conta dela e o suporte da nubank informou que nao podiam resolver essa situacao sendo que deveria ter uma seguranca num aplicativo tao grande eu irei retirar tudo o que coloquei na conta pois agora tenho medo ja que tenho bem mais dinheiro guardado de acontecer o mesmo comigo uma pena pois eu sempre admirei a nubank
39,bom dia tudo parece bemso tem um problema na hora de acesso nunca funciona correto e fica no puxa encomenda e descontrola tudo e onde esta a diferenca
40,otimo cartao facil acesso
41,nova atualizacao usuarios tem dinheiro na conta mais nao passa o valor na maquininha de cartao acesso negado ou sem saldo por favor vejam o que esta acontecendo
42,o que esta acontecendo com aplicativo nesta sexta feira nao consigo acessar o aplicativo por favor aguardo o retorno preciso usa a conta
43,na hora de validar o telefone fica me pedindo a senha mil vezes
44,e muito bom mais poderia ser melhor nao tem muita seguranca deveria ter uma senha so pra acessar o aplicativo e nao a mesma do celular
45,ola eu tive que formarar meu ce lula agora vou entra pelo aplicativo com cpf ea senha não carrega so fica rodando o tempo todo
46,pessoal bom dia quem tiver esse aplicativo nubank nao mude de email porque se mudar você perde o acesso ao o aplicativo nao usar mais ate hoje to tentando concerta e nada
47,aplicativo nao libera o acesso do meu aparelho pra fazer pix nem transferencia e ja mandei as fotos certinho ajeitem isso
48,depois dessa atualizacao de seguranca o aplicativo ficou horrivel completamente inseguro onde ja se viu ter acesso ao aplicativo com a senha de desbloqueio do celular odiei
49,otimo mas seria bom se tivesse uma senha de pelo menos 6 digitos na hora de passar por pix e nao as mesmas de 4 digitos que se usa pra pagar com o cartao de credito
50,o aplicativo nao tem seguranca no acesso eu nao tenho a opcao de cadastrar apenas o pin ou digital ele deixa habilitado os dois tornando o aplicativo inseguro uma outra questao caso o aplicativo seja encerrado deveria ter um tempo para realizar o login novamente tem casos que o acesso continua mesmo fechando o aplicativo
51,o aplicativo pede a senha do celular mas nao destrava quando a mesma e informada
52,boa noite estou dando uma estrela porque o aplicativo esta pecimo com essa nova atualizacao pedi pra genteabri aplicativo com a senha do celular ai valta varias vezes pra mesma pagina pedindo pra gente entrar com a senha do celular e nunca consegui porque valta sempre pra mesma pagina por favor organize esse bulg que esta acontecendo no aplicativo
53,nao consigo acessar minha conta diz que nao esta conectado a internet e tenho cobrancas
54,nao tenho tempo de ver a senha que foi para o email
55,e otimo porem perdi meu celular com o email cadastrado e nao lembrava a senha de acesso ao aplicativo ai nao dao a opcao de um novo email e nao estou podendo usar nem fazem pix nem nadap
56,nao to gostando criei minha conta terca feira e pra entra no meu aplicativo estao pedindo cpfe senha ate ai ok mas ai eles falam que vao envia um codigo de verificacao no meu email para acessar a conta e esse codigo nao esta chegandooque devo fazer
57,nao tenho o que falar referente a experiencia que tenho com o aplicativo e o banco meu feedback e mais para a parte da seguranca vivemos em uma sociedade em que esta cada vez mais rotineiro os assaltos e os smartphones sao o principal alvo desses assaltantes para que nos usuarios da conta do nubank e contas digitais em geral tenhamos um jeito mais facil e agil de bloquear qualquer tipo de tentativa de violacao de contas um acesso por computador seria muito mais rapido e eficiente
58,to tendo problema pra entrar no aplicativo ponha a senha do meu celular mais so fica na tela de inicio e nao entra no aplicativo preciso pagar minha fatura e nao ta abrindo o aplicativo
59,ja faz mais de 15 dias que tento acessar o aplicativo e nao consigo porque o aplicativo nao entra pra eu fazer meu reconhecimento facial o aplicativo nao presta
60,a dias nao consigo mais acessar minha conta vamos aguardar a fatura pelo email
61,excelente adoro muito bom e de facil acesso
62,quero trocar a senha do meu aplicativo e nao consegui ja tentei mais de 100 vezes e meu email e nao vai
63,nota zero o aplicativo impede o acesso solicitando o pin mesmo ja estando com todas as permissoes você nao consegue acessar de modo algum enviei a cedula de identidade profissional mais completa demoraram 1 tempao ficam dando dicas pra você resolver ridiculo isso
64,depois de adquirir o roxinho nao troco por outro meu roxinho favorito o problema e so a seguranca do aplicativo nao gostei da opcao se o dispositivo nao tem senha otimo a senha e a do aplicativo caso contrario a senha do aplicativo automaticamente se torna a mesma do dispositivo isso nao e bom pois outra pessoa que tem acesso a senha do dispositivo podera acessar tambem ao aplicativo e ai pode ocorrer o inesperado que todos ja sabem
65,precisa melhor a questao da biometria porque constantemente fica saindo e pedindo a senha e poderia aparecer o nome e horario de quem fez um pix no extrato igual os outros bancos aparecem
66,o aplicativo esta com algumas falhas sempre que clico pra ver so saldo da um erro e tenho que colocar a senha de de novopor favor corrigir esse bug no aplicativo grato
67,ipad 7 com sistema ipados 155 o aplicativo nao esta solicitando permissao de acesso a camera o que inviabiliza a captura de codigo de barras para pagamentos etc o aplicativo congela quando tocamos na opcao “leitor de codigo de barra”
68,para dar 5 estrelas a unica queixa e bugs de acesso e poderiamos ter condicoes de algumas decisoes serem resolvidas pelo aplicativo a concorrencia nesse caso ja esta a frente
69,o aplicativo e bom atende as necessidades so tem um ponto a melhoras o bug que da em determinados horarios que nao se consegue acessar de jeito nenhum o mesmo isso causa serios desgastes e vergonha
70,o aplicativo e tao ruim quanto o banco vive fora do ar bloqueia o usuario mesmo digitando a senha correta se melhorar muito ainda vai continuar sendo ruim melhorem...
71,somente consigo acesso via wifi nao consigo pela rede movel quase sempre da erro ao entrar e precisa recadastrar tudo como tudo que vem da caixa e complicado para usar e gera transtorno
72,sei a senha e usuario e o mesmo fica aparecendo erro direto ai depois de algumas tentativas frustradas pede para cadastrar novo usuario 🤦‍
73,tenho uma iphone 13 pro max que a semanas nao consigo acessar o aplicativo ja fui na agencia entrei em contato com sac e nunca foi resolvido
74,estou tentando puxar meus extratos da movimentacao da minha conta poupanca e nao estou conseguindo voltar a ter acesso pelo whatsapp nao esta mais aparecendo a opcao se nao da pra usar mais porque disponibiza falta de respeito com o usuario se for na agencia sao filas enormes e uma lentidao no atendimento ai se vai tentar pela internet nao consegue do mesmo jeito voces so dificultam a vida da populacao
75,apesar de ja ter liberado tudo localizacao acesso a camera etc e de ter reinstalado varias vezes nao consigo ler nenhum codigo de barras na funcao pagamento uso um iphone13 pro com ios 155 ressalto que ja funcionou bem nesse aparelho
76,o aplicativo e bom mas ja tem um tempo que nao tenho acesso ao codigo de barra e nao consigo fazer pagamento pelo qr code
77,faz mais de duas semanas que nao consigo acessar a minha conta precisava consultar saldo pagar contas fazer pix... “erro ops nao foi possivel processar sua solicitacao favor realizar um novo login cod 0530” o problema nao e a minha internet o aplicativo reflete com clareza o estilo de banco que a caixa economica federal e o estilo de atendimento prestado e o descaso com os consumidores muitas vezes obrigados a fazer uso desse banco pelo governo federal para chegar no nivel razoavel tem muito chao pela frente deixo registrado a minha insatisfacao com esse banco com esse aplicativo e com o descaso que precisamos tolerar
78,aplicativo de dificil navegacao poucas opcoes ruim de acessar as funcoes
79,o aplicativo e um pouco lento se erra a senha uma ou duas vezes ja tem que cadastrar novamente e o pix teria que ser mais facil todas pessoas que eu conheco e tem conta na caixa reclamam da dificuldade que e fazer um pix no aplicativo da caixa
80,aplicativo apresenta erros para abrir ja fazem dois dias que nao consigo acessar minha conta
81,antigamente era ate aceitavel mas agora e tanta seguranca que nem eu mesmo consigo acessar minha propria conta o melhor a se fazer e deixar de usar esse banco pra sempre pois tudo com ele e na base do “tenta a sorte”
82,melhorou um pouco a questao do acesso a conta mas agora o leitor de codigo de barras no aplicativo parou de funcionar tenho que digitar todos os numeros ola pessoal o botao do leitor do codigo de barras no aplicativo nao funciona em outro casos esta funcionando
83,o aplicativo fica com a mensagem de “nao foi possivel acessar nesse momento tente mais tarde”
84,esta complicado nao consigo acessar minha conta de forma alguma
85,chega ser folclorico as instabilidades desse aplicativo quando nao apresenta falhas recorrentes no login bloqueia senhas e fecha inesperadamente absurdo daqui a pouco vao alegar que e culpa do pr
86,absolutamente do nada me pediram para cadastrar meu telefone novamente eu nao consigo fazer nada sem ir a um caixa eletronico fui no meu computador e a mesma coisa aconteceu tenho ele ha 5 anos e ja acessei diversas vezes acho que voltamos pra 1901 e nao me avisaram banco completamente fora da realidade se nao fosse publico ja teria quebrado ou seja ainda pagamos a conta no final pela improdutividade de voces
87,buga toda hora pedindo a senha tento varias vezes e bloqueia o usuario faco de nono e continua o problema resolva isso pra nos vou ter que mudar de banco por conta disso
88,faco cadastro com os dados corretos e quando entro diz senha incorreta ridiculo isso
89,esse carai tem algo contra ios ja tem um 3 meses que tento acessar minha conta e nao consigo
90,o aplicativo e excelente porem alguns dias fica com essa informacao ao acessar e muitas vezes preciso para fazer pix obrigada
91,horrivel lento fica solicitando senha validacao aplicativo mal feito
92,aplicativo instavel nao consigo acessar minha conta isso e que corrigiram ne
93,prezados desenvolvedores melhores a estabilidade da conexao as vezes e uma batalha pra conseguir logar ja fiquei na mao em momentos que precisei fazer uso do aplicativo e constantemente da erro ao logar com face id sendo necessario por a senha novamente
94,caso eu queira o comprovante de uma pagamento que fiz mes passado o aplicativo nao fornece erro no acesso aos dados isso nao devia acontecer
95,todo santo dia da erro para fazer o login tanto com senha como no faceid e bloqueia o usuario e tem que fazer o cadastro novamente esse erro ja vem a anos e nunca e corrigido
96,desloga direto sempre tenho que ta trocando senha preenchendo tudo de novo pra usar o aplicativo
97,mais de 4 semanas sem conseguir acessar o aplicativo porque fica aparecendo mensagem de erro ja liguei na central da caixa e ate mesmo no suporte tecnico da apple a cada ligacao na caixa fico mais de 1h40 aguardando para ser atendida e nunca conseguem me ajudar estou nesse exato momento em uma ultima tentativa para tentar fazer esse aplicativo funcionar e a duracao da ligacao ja esta em 1h50 caso nao de certo vou cancelar essa conta isso ta me atrapalhando demais detalhe ja fui no banco caixa e ninguem consegue me ajudar também
98,sempre fica instavel nao conecta quando você acha que vai ele pede a senha de novo ja fiz mais de 10 logins novos e senhas assim fica dificil
99,toda vez que acesso a opcao ele nao da pra selecionar a opcao de emprestimo do saque aniversario aparecendo a mensagem “estamos quase la...” tem dias ja por favor arrumem pois se ficar no prejuizo por conta disso vou ter que tomar alguma providencia juridica obrigado
100,estou na irlanda e nao consigo acessar a conta so fica estabelecendo conexao e nao entra preciso pagar as contas que tem data de vencimento e nao esperam
101,aplicativo constantemente com erro ao acessar ou fora do ar causa bastante transtornos nas urgencias preciso ir ao caixa eletronico pra resolver operacoes
102,aplicativo esta bem mais fluido antes travava tinha muita instabilidade minha senha nao funcionava tinha que cadastrar nova senha agora ta bem mais rapido bastante opcoes no menu e bastante interativo o que pode melhorar e nas respostas do cliente quanto a cartoes emprestimos entre outros
103,aplicativo fica instavel muitas vezes deixando sem acesso em momentos necessarios tenho conta poupanca porque o gerente do banco nao permitiu uma conta corrente gratuita sendo que e lei e por ser poupanca o aplicativo nao permite que eu faca varias coisas como pagamento ipva risos so parece sp jogos de loteria somente megasena e outras transacoes tipo ted quando o aplicativo nao esta fora do ar ele e facil de usar agil tem boa apresentacao
104,desde de o dia 05 de maio de 2022 nao consigo acessar o aplicativo so aparece estabelecendo conexao segura e nao passa disso estou fora do brasil e agora estou prejudicada com a falta de funcionamento deste aplicativo
105,estou na inglaterra e sem acesso ao meu dinheiro consertem isso ja varios brasileiros com o mesmo problema aqui
106,apos a ultima atualizacao nao consigo mais fazer login ao digitar minha senha o aplicativo entra na tela de “estabelecendo conexao segura” e nao sai mais estou impedida de realizar transacoes
107,desde ontem nao consigo acessar o aplicativo ja desinstalei e instalei varias vezes e nao funciona ja me recadastrei e no final diz que “transacao indisponivel no momento efetue novo acesso e tente novem alguns instantes egfnusk8rx isso e um desrespeito com o cliente falta de respeito total
108,o aplicativo esta um lixo quem ja viu o mesmo nao permitir logon quando se usa rede wifi essa versao esta terrivel instavel e com milhares de bugs de acesso
109,passei hoje o dia todo tentando acessar o aplicativo e nao abre pior aplicativo de banco que existe
110,aplicativo nao acessa desde ontem
111,buga o tempo todo nao permite acesso vou deixar de usar esse banco horrivel porque te deixa na mao e preocupado com os dados
112,tem que atualizar ta muito ruim pra conseguir acessar o aplicativo ...
113,nao sei oque aconteceu com o aplicativo mas nao consigo nem pagar as minhas contas ha dois dias estou sem acesso
114,todo santo mes o aplicativo da esse problema aparece um cod 0450 e nao consigo acessar precisa melhorar isso
115,estou ha dois dias tentando acesso ao aplicativo e nao consigo estava dando um erro de cod 20017 atualizei o aplicativo e agora so fica estabelecendo conexao segura e nao sai disso precisa melhor esse aplicativo que sempre fica dando bugs
116,nao entra nao acessa uma verdadeira nojeira esse aplicativo
117,nao consigo mais fazer pix pagar conta e tenho que constantemente colocar varias vezes a senha pra entrar
118,nao sei o que esta acontecendo que nao consigo acessar o aplicativo e nem recebo pix na conta da caixa
119,sempre os mesmos bugs jamais usaria como banco principal tem 2 dias que nao consigo entrar na minha conta por causa desse erro de login nem com face id nem digitando a senha acabem com esse aplicativo para ao menos diminuir a vergonha desse “banco” se eu dependesse somente desse banco estaria em apuros agora sinceramente uma vergonha
120,depois da ultima atualizacao nao consigo acessar mais
121,nao deixa entrar nem por biometria nem senha fica dando erro pedindo pra tentar novamente por isso e facil migrar pra qualquer outro banco nao deixa fazer nada
122,sempre tenho poblemas com a biometria e nao tem a opcao de esqueci a senha tenho que desistalar e estalar precisa melhorar
123,por favor arrumem o aplicativo preciso acessar minha conta eles nao funciona
124,sem palavras para definir a minha indignacao com esse aplicativo simplesmente e quase impossivel acessar a conta por ele cheio de erros e as vezes fica carregando e nao abre a conta
125,nao sei como um banco desse porte da tanta dor de cabeca mal consigo acessar o aplicativo fica saindo direto da erro com frequencia
126,esta horrivel esse aplicativo pois nao estou conseguindo acessar o proprio
127,aplicativo esta inviavel nao conseguimos fazer login por senha nem por biometria horrivel
128,cara de verdade dao jeito nessa oscilacao desse aplicativo muitas vezes nao consigo fazer login e nao e internet e tambem quando vamos fazer algumas transacoes ele dar erro assim que bota a senha poderiam melhorar a instabilidade frequente ja perdi as contas de quantas vezes eu vou fazer login e aparece “sistema temporariamente indisponivel” muitas vezes preciso realizar pagamentos de fornecedores e isso acontece quebra minhas pernas precisa ser melhorado com urgencia pois a caixa e um otimo banco mas o aplicativo nao facilita nada
129,o aplicativo esta instavel voce conta em poder acessar a sua conta para fazer pagamentos e transferencias ou seja resolver a sua vida financeira mas nao da para contar com esse aplicativo a biometria toda hora para de funcionar uso aplicativo de outro banco que nunca da problema entao o problema e a incompetencia mesmo
130,aplicativo com instabilidade frequentemente fecha sozinho sai da conta nao acessa com biometria se precisar fazer alguma transacao com urgencia pode esquecer
131,vive fora do ar ja faz 3 dias que tento acessar pois preciso pagar minhas contas e nao consigo entrar no aplicativo melhorem... pior aplicativo no mundo de banco
132,apos a ultima atualizacao o aplicativo fica estabelecendo conexao segura e simplesmente nao acessa obs ja tentei acessar usando o 4g e ja tentei pelo wifi de minha casa sem exito
133,aplicativo da caixa simplesmente encontrase indisponivel para acesso a conta em quase totalidade do dia
134,aplicativo nao entra so fica dando erro que nao pode acessar e tente mais tarde quando entra nao aparece opcao de nada e volta para tela de erro se precisar fazer operacao financeira com urgencia esquece e impossivel
135,a caixa lidera o ranking de pior sistema bancario do brasil como pode voce nao conseguir acessar sua conta a duas ou 3 vezes por semana chega ser inacreditavel o quao ruim e esse sistema
136,aplicativo horrivel nunca funciona sempre instavel tem que ficar colocando senha 56 vezes pra conseguir entrar mais nao entra
137,o aplicativo da muito erro toda hora nao consigo acessar a conta
138,um lixo o aplicativo vive instavel tem dias que nem da para acessar a conta ai voce precisa sair da sua casa e ir em uma agencia resolver coisas simples coisas que esse lixo de aplicativo deveria fazer
139,de tempos em tempos o aplicativo da problema com a biometria do iphone mesmo desativando a biometria eu tenho que digitar a senha umas 5 vezes para entrar no aplicativo pra ficar ruim esse aplicativo precisa melhorar muito pois e pessimo nunca corrigem esses bugs e muita incompetencia...
140,toda vez que eu acabo bloqueando um aplicativo de banco por errar a senha diversas vezes eu me sinto aliviado contra possiveis golpes ou roubo de telefone porque porra se nem eu to sabendo a senha bloqueei o aplicativo da caixa agora 🤡
141,como recuperar a senha do caixa tem e voltar a ter acesso ao aplicativo httpstco5mgkmnojfk
142,galera de fora do br ta rolando de acessar o caixa tem ai meu saque do fgts caiu ontem e eu nao consigo acessar a aplicativo pra poder pegar meu dinheiro
143,quanto tempo leva pra o caixa tem enviar o link pra acesso do aplicativo
144,aproveitando o hype da thread do nubank e o assunto seguranca deixo a dica conta da caixa se nem eu consigo acessar quem diras algum fraudador 24h que o aplicativo ta fora do ar
145,esse aplicativo caixa tem esta pedindo para vincular uma conta caixa por questoes de seguranca do aplicativo alem disso pedindo a senha do cartao que isso caixa 🤔
146,chocada que as pessoas deixam assim eu tenho so o aplicativo da caixa e ele pede uma senha pra abrir e outra diferente para fazer qualquer operacao as pessoas precisam focar na seguranca
147,eu nunca criei tanto nome de usuario e senha dentro de uma porra de um aplicativo de um banco seguranca em excesso ja nao e mais seguranca caixa
148,caixa nao oferece seguranca nenhuma nos dados pela 3° vez entrei no aplicativo da minha mae e tem algum email com acesso ao cpf dela ja entrei em contato 3x p mudar toda vez muda e a pessoa do email desconhecido volta de novo que banco horrivel meu deus
149,muito confuso na opcao senha nao tem esqueci senha
150,muito bom o aplicativo acesso com rapidez e sem dificuldades
151,o aplicativo e bom exceto quando a gente nao consegue acessar e da erro
152,facil acesso
153,estou tendo varios problemas com esse aplicativo digitando a senha e informa que esta errada pedindo para a liberacao no caixa eletronico
154,frequentemente ha o bloqueio da senha sendo que acessa pela primeira vez no dia
155,aplicativo muito bem elaborado e de facil acesso
156,porque o aplicativo tem que ter acesso ao meu celular e minha localizacao qual a necessidade disso agora o aplicativo ta muito bom
157,muito pratico e facil de acessar
158,e bom mas sempre pode melhorar as vezes nao reconhece a senha e preciso recadastrar
159,muito bom sempre consigo acessar
160,poderia ser mais facil o acesso pelo aplicativo tipo criar senha para uso to aplicativo pra poder realizar as transacoes sem precisar iate um caixa eletronico para validar muito chato isso ate agora nao faco uso do aplicativo alem de ver meu saldo por causa dessa burocracia
161,aplicativo horrivel todo momento pedindo para esta criando senha e usuarios
162,hoje o acesso melhorou
163,aplicativo nao vale nada pedi pra recadastra senha e faco tudo de novo e nao entre desepicionada viu
164,era e continua pratico e agil bom tambem o acesso ao extrato do inss embora haja limitacao para o acesso uma dificuldade e com a troca de senhas tive a conta invadida por hackers alem de ter de buscar na justica a possivel devolucao do dinheiro a conta as senhas depois desta invasao nao consigo refazer estao bloqueadas ainda mesmo depois de ir pessoalmente a uma agencia e trocar a senha voltaram a serem bloqueadas para operacoes via aplicativo
165,aplicativo pratico e de facil acesso
166,parou de funcionar do nada nao reconhece usuario e senha
167,so nao consegui fazer pix ja desbloquei a senha varias vzs
168,esta cada vez mais dificil acessar o aplicativo sempre indisponivel esta sempre tendo erro fora o acesso digital que tambem esta tendo falha hoje passei o dia tentando acessar o aplicativo e deu erro o dia inteiro haja paciencia
169,tava bom mais agora ta muito dificil acessar a conta i nem ver saldo moro numa cidade que nao tem caixa eletronico ai tenho que sair da minha cidade pra cadastrar dispositivo pelo amor de deus me ajuda ai para de complicar a vida dos outros
170,tem que melhorar muito ainda questao de atualizacaotem que sair do aplicativo e entrar de novo do nada o usuario e senha da invalido e o aplicativo manda fazer outro precisa melhorar muito ainda mais ja ajuda
171,o problema e o que exigem para conseguirmos a senha de acesso sendo preciso ir presencialmente na agencia ou caixa eletronico depois deste incomodo o uso do aplicativo e pratico e facilita as transacoes bancarias
172,boa tarde preciso acessar o meu extrato e o saldo da caixa se for possivel me manda uma resposta
173,depois que atualizou pede pra cadastrar senha direto
174,otimo acesso e muito bom
175,o aplicativo e bom porem tem muito a melhorar podendo simplificar e aumenta o acesso para resolver as nessecidades com mais praticidade e rapidez
176,aplicativo trava o tempo todo desativa a digital toda hora e da senha incorreta mesmo com a senha certa precisa refazer todo o cadastro toda vez que quero entrar no aplicativo so me faz passar raiva
177,ta horrivel agora tem que desbloquear em caixa eletronico pra ter acesso desapontante
178,configuramos para senha biometrica e depois do nada pede a senha de numeros muitas vezes ja haviamos esquecido e lento e constantemente fica fora do ar fora isso nao e simplificado e temos que passar por muitas etapas para realizar operacoes simples
179,amo esse aplicativo so nao gostei de ter que cadastrar a assinatura eletronicaou senha eletronicaso la no caixa economica pessoalmenteem pleno pandemia era pra fazer via internet
180,nunca consegui entrar no aplicativo com a digitale sempre que vou entrar com a senha cadastrada diz que ta bloqueada e agora nao consigo entrar de jeito nenhum esse aplicativo e pessimo deus me livre
181,facil acesso
182,super tranquilo muito facil de acessar pagamento de faturas sem sair de casa
183,rapido e facil mas nao é tao seguro porque as senhas ficam salvas no aplicativo
184,voce passa horas tentando um acesso e a praga trava com usuario fico imaginando os idosos pra conseguir isso sem tolerancia pra tanta idiotice se voce e cliente digita o cpf senha tudo e no final nao te da acesso vai pro inferno com isso
185,esse aplicativo e horrivel pra acessar a conta sempre da erro logo troco de banco
186,gosto do aplicativo usei muito tempo so que agora toda vez que atualiza tem que ficar indo ate o caixa eletronico pra liberar senha e chato isso me deixou na mao esses tempos nao consigo acompanha a conta por causa disso sei que tem que ter seguranca porem tem que ser um pouco mais acessivel tambem
187,esta melhorando nao tive nenhum problema ou dificuldade em acessar o aplicativo
188,esse aplicativo nao serve pra nada fui hoje na agencia da caixa pra cadastrar meu dispositivo e depois quando fui acessar o aplicativo diz que o usuario esta bloqueado voces precisam melhorar esse aplicativo todo ano e a mesma coisa ja sou cliente de voces desde 2020 e de la pra ca o aplicativo nao evoluiu nada
189,aplicativo pessimo sai toda hora da biometria pior burocracia pra recuperar senha sem falar da assinatura eletronica que e um bo pra poder criar e se esquecer ja e outros porens bem que deveriam atualizar esse aplicativo e facilitar com a nossa vida fazendo essas mudancas no aplicativo pessima experiencia ja nao uso mais
190,muito importante e facil e rapido o acesso obrigado
191,as vezes trava um saco ter que colocar senha uma vez que cadastrei digital
192,gosto do aplicativo a unica queixa e em relacao as transacoes como transferencias pix pagamentos tenho que cadastrar o meu telefone faco todo o procedimento e tenho que ir num caixa eletronico mas quando chego diz que nao consta nenhum aparelho para cadastrar enfim nao consigo fazer nada online e ter que ir na minha agencia me toma o dia todo poderia ser mais facil cadastrar o meu telefone poderiam me mandar uma senha ou algo que eu pudesse fazer sem precisar ir em uma agencia
193,muito bompena que nao tenho acesso a todos acessos
194,incrivel nao consigo acessar minha conta pelo aplicativo diz que usuario nao encontrado
195,sequer estou conseguindo concluir terminar o cadastro de minha conta abri ha pouco tempo e tentei abrila pelo aplicativo no momento em que fui acessar meu saldo o aplicativo disse a seguinte informacao e necessario fazer cadastro do dispositivo espero pelo apelido que a propria agencia disponibiliza ha literais 8 horas e ate agora nao tive respaldo algum indignado com esta situacao
