,reviews_classified_all
53,leitor qr code falhandosem transferencia por ted agora assim fica dificil de usar acesso impossibilitado ta dificil conseguir entrar na conta se mesmo digitando a senha volta pra digitar a senha novamente em um ciclo que so faz crescer a raiva
54,so estou dando 4 estrelas por nao poder colocar a senha que eu quero no cartao e nao aumentar o limite mesmo estourando ele todo mes mas tenho que parabenizar o gerenciador de faturas e o mais objetivo e facil de usar do que todos bancos virtuais sensacional esse negocio de poder adiantar quantas parcelas quiser no cartao de credito
55,gostei pena que eu perdi os contatos tenho cartao mas nao tenho como ter acesso senha
56,nao consigo mais acessar a minha conta pelo aplicativo
57,precisa melhorar muito a seguranca e o aplicativo de banco mais facil de ser acessado por terceiros apos o celular ser roubadofurtado para trocar o email cadastrado nao e solicitado nenhuma confirmacao de identidade a senha de desbloqueio do aplicativo nao pode ser outra se nao for a do proprio aparelho ou seja nubank e o banco que facilita para os bandidos
58,nao consegui acessar ainda
59,roubaram o celular da minha namorada e mesmo tendo senha no aplicativo da nubank eles conseguiram acessar a conta o que pra mim e falha na seguranca e pegaram o dinheiro na conta dela e o suporte da nubank informou que nao podiam resolver essa situacao sendo que deveria ter uma seguranca num aplicativo tao grande eu irei retirar tudo o que coloquei na conta pois agora tenho medo ja que tenho bem mais dinheiro guardado de acontecer o mesmo comigo uma pena pois eu sempre admirei a nubank
60,bom dia tudo parece bemso tem um problema na hora de acesso nunca funciona correto e fica no puxa encomenda e descontrola tudo e onde esta a diferenca
61,otimo cartao facil acesso
62,nova atualizacao usuarios tem dinheiro na conta mais nao passa o valor na maquininha de cartao acesso negado ou sem saldo por favor vejam o que esta acontecendo
63,o que esta acontecendo com aplicativo nesta sexta feira nao consigo acessar o aplicativo por favor aguardo o retorno preciso usa a conta
64,na hora de validar o telefone fica me pedindo a senha mil vezes
65,e muito bom mais poderia ser melhor nao tem muita seguranca deveria ter uma senha so pra acessar o aplicativo e nao a mesma do celular
66,ola eu tive que formarar meu ce lula agora vou entra pelo aplicativo com cpf ea senha nao carrega so fica rodando o tempo todo
67,pessoal bom dia quem tiver esse aplicativo nubank nao mude de email porque se mudar voce perde o acesso ao o aplicativo nao usar mais ate hoje to tentando concerta e nada
68,aplicativo nao libera o acesso do meu aparelho pra fazer pix nem transferencia e ja mandei as fotos certinho ajeitem isso
69,depois dessa atualizacao de seguranca o aplicativo ficou horrivel completamente inseguro onde ja se viu ter acesso ao aplicativo com a senha de desbloqueio do celular odiei
70,otimo mas seria bom se tivesse uma senha de pelo menos 6 digitos na hora de passar por pix e nao as mesmas de 4 digitos que se usa pra pagar com o cartao de credito
71,o aplicativo nao tem seguranca no acesso eu nao tenho a opcao de cadastrar apenas o pin ou digital ele deixa habilitado os dois tornando o aplicativo inseguro uma outra questao caso o aplicativo seja encerrado deveria ter um tempo para realizar o login novamente tem casos que o acesso continua mesmo fechando o aplicativo
72,o aplicativo pede a senha do celular mas nao destrava quando a mesma e informada
73,boa noite estou dando uma estrela porque o aplicativo esta pecimo com essa nova atualizacao pedi pra genteabri aplicativo com a senha do celular ai valta varias vezes pra mesma pagina pedindo pra gente entrar com a senha do celular e nunca consegui porque valta sempre pra mesma pagina por favor organize esse bulg que esta acontecendo no aplicativo
74,nao consigo acessar minha conta diz que nao esta conectado a internet e tenho cobrancas
75,nao tenho tempo de ver a senha que foi para o email
76,e otimo porem perdi meu celular com o email cadastrado e nao lembrava a senha de acesso ao aplicativo ai nao dao a opcao de um novo email e nao estou podendo usar nem fazem pix nem nadap
77,nao to gostando criei minha conta terca feira e pra entra no meu aplicativo estao pedindo cpfe senha ate ai ok mas ai eles falam que vao envia um codigo de verificacao no meu email para acessar a conta e esse codigo nao esta chegandooque devo fazer
78,nao tenho o que falar referente a experiencia que tenho com o aplicativo e o banco meu feedback e mais para a parte da seguranca vivemos em uma sociedade em que esta cada vez mais rotineiro os assaltos e os smartphones sao o principal alvo desses assaltantes para que nos usuarios da conta do nubank e contas digitais em geral tenhamos um jeito mais facil e agil de bloquear qualquer tipo de tentativa de violacao de contas um acesso por computador seria muito mais rapido e eficiente
79,to tendo problema pra entrar no aplicativo ponha a senha do meu celular mais so fica na tela de inicio e nao entra no aplicativo preciso pagar minha fatura e nao ta abrindo o aplicativo
80,ja faz mais de 15 dias que tento acessar o aplicativo e nao consigo porque o aplicativo nao entra pra eu fazer meu reconhecimento facial o aplicativo nao presta
81,a dias nao consigo mais acessar minha conta vamos aguardar a fatura pelo email
82,excelente adoro muito bom e de facil acesso
83,quero trocar a senha do meu aplicativo e nao consegui ja tentei mais de 100 vezes e meu email e nao vai
84,nota zero o aplicativo impede o acesso solicitando o pin mesmo ja estando com todas as permissoes voce nao consegue acessar de modo algum enviei a cedula de identidade profissional mais completa demoraram 1 tempao ficam dando dicas pra voce resolver ridiculo isso
85,depois de adquirir o roxinho nao troco por outro meu roxinho favorito o problema e so a seguranca do aplicativo nao gostei da opcao se o dispositivo nao tem senha otimo a senha e a do aplicativo caso contrario a senha do aplicativo automaticamente se torna a mesma do dispositivo isso nao e bom pois outra pessoa que tem acesso a senha do dispositivo podera acessar tambem ao aplicativo e ai pode ocorrer o inesperado que todos ja sabem
86,nubank nubank de aniversario eu queria so que voces melhorassem a seguranca do aplicativo tipo colocar a possibilidade de eu entrar no aplicativo com uma senha diferente da senha de desbloqueio do celular sera que rola
87,ipurq ingridsilva nubank isso e responsabilidade do cliente que por falta de atencao faz essas burrices a pessoa entra na conta digitando a senha ou digital e faz todo o processo de livre e espontanea vontade isso nao e falha de seguranca do aplicativo e falta de atencao do cliente
88,ingridsilva nubank voce acessou sua conta fez um pix pra outra pessoa e espera que o nubank simplesmente estorne pra voce o valor nao e assim que funciona infelizmente nao foi um caso de clonagemroubo acho que faltou atencao da sua parte viu com tantos casos de golpe e importante verificar
89,os apps de bancos sao ridiculamente inseguros que e pra facilitar o acesso quanto mais simplificado o acesso mais a probabilidade de voce utilizar servicos do bancos se der algum bo voce for roubado ou cair em algum golpe o problema e seu nubank bancointer itau santanderbr
90,e eu que desativei o toutch id e fiquei so cm a senha numerica por medo do golpe do nubank dai quebrei meu celular e nao consigo mais por um numero da senha numerica e to sem toutch pra conseguir desbloquear o celular 🤡🤡🤡
91,“cai num golpe nubank devolve meu dinheiro” ai gente as vezes voces forcam tambem ne kkkkkkkkkkkk minha nossa senhora
92,eu posso estar na paranoia do golpe do nubank mas tenho certeza que os caras do meu lado acabaram de roubar um celular e tao tentando acessar os aplicativo de banco tudo
93,o do cara que teve o celular roubado e os dados violados sem nenhuma explicacao tem sentido cobrar o nubank um respaldo agora a menina caiu no golpe do zapzipzop e quer ter o estorno de um pix que ela fez digitando a senha dela
94,esses relatos de nubank golpe do pix daqui a pouco o nubank vai fazer um teste de qi pra pessoa poder acessar a propria conta
95,eu achei que nunca teria de fazer esse alerta mas ca estou eu cai em um golpe bancario gastei todo o dinheiro que havia na minha conta e o banco nao repos nadinha pior que os criminosos nem tiveram acesso ao meu smartphone me ajuda nubank bebe santander bradesco caixa itau
96,semana passada ai meu deus roubo de celular thread do nubank vou so usar cheque que absurdo hoje ah entao a minha senha do celular e o aniversario do meu cachorro fido que nasceu em 30 de fevereiro e
97,duvida sobre roubo de celular e desvio de dinheiro via pix apesar do limite alto nao precisa de senha pra isso no nubank precisa de senha pra qualquer transacao via pix pagamento transferencia etc
98,he nubank bandidos fazendo a festa com roubo de celulares e o aplicativo de voces so deixa logar com biometria ou passcode se o malandro pede tem a senha do celular ele rouba toda a minha grana no aplicativo sabia vamos melhorar essa seguranca ai urgente por favor
99,aloadt sobre a thread do nubank geralmente no ato roubo o ladrao pede a senha inclusive destrava na hora pra confirmar passei por isso
100,nubank e seguranca contra golpe e roubo de senha vai ter quando
101,cara esse esquema de seguranca da nubank e muito fraco so precisei da senha do aplicativo e aceso ao email pra entrar na conta no novo aparelho melhora isso ai po
102,comecei a adotar umas praticas de seguranca dos apps de banco depois da terrivel thread do nubank e acabou que eu travei o acesso tao bem travado que agora nao consigo mais abrir os apps financeiros kkkkkk httpstcodkg8kbefsq
103,erre voce mesmo 3 vezes sua senha do cartao do nubank assim voce previamente bloqueia seu cartao me siga para mais dicas de seguranca
104,quero uma feature no nubank que faca com que eu nao tenha acesso a minha conta seguranca em primeiro lugar
105,a thread do nubank desencadeou uma serie de questionamentos um deles nao sai da minha cabeca que e sem a conta google boa parte dos aplicativos nao funciona e logando a conta google voce tem acesso a todo ligar com sso o android em si e uma falha de seguranca
106,eu acho a seguranca do banco do brasil muito boa nao sei em relacao a golpes e essas coisas como eles atendem mas eu nao tiraria meu dinheiro de la pra por no nubank o empresarial deles precisa de varias etapas com senha e qr code pra poder fazer transferencias
107,ei roxinho nubank acho que ja passou da hora de lancar mais protecao para seus usuarios ein taca senha em tudo que eu aceito quero sentir mais seguranca
108,utilidade publica pra quem tem o roxinho dica de seguranca caso perca o celular ou seja roubado acesse gt httpstcovp8snolayk e clique em login digite seu cpf e sua senha senha pra entrar no aplicativo nao e a senha do cartao a carregar essa tela clique em “estou sem cel” httpstcosgyqeqwzrt
109,nao sei o que aconteceu na ultima atualizacao que deu bug em tudo nao consigo fazer pix ha dias primeiro ficava dando erro agora nao consigo acessar os meus contatos salvos do pix complicado
110,nao consigo acessar a fatura e os detalhes das compras
111,estou ah dias tentando acessar as faturas mas nao consigo o que esta acontecendo
112,estou a 3 dias tentando acessar a fatura para pagar o cartao e simplesmente mostra que nao tem internet tanto no wifi quanto na rede movel 5g nao esta carregando estou com internet normal
113,na hora que vou entrar no aplicativo pede e a senha do meu celular sendo que tem a do aplicativo poderiam mudar so pra do aplicativo
114,apos a atualizacao nao esta mais dando para ver a fatura atual anteriores e parcelas futuras alem disso acho que falta no aplicativo uma ferramenta interna para informar bugs e erros ou o acesso para essa ferramenta nao e intuitivo
115,desde ontem 020622 tento acessar a minha fatura e nao consigo diz que deu um erro e para eu verificar a minha internet sendo que consigo acessar o aplicativo normalmente ou seja um erro mesmo acabei de fazer a atualizacao do aplicativo tambem mas o erro continua preciso acessar a minha fatura como irei pagar sem isso
116,nao consigo visualizar minhas faturas ha dias quando tento acessar o menu “resumo de faturas” apresenta uma tela escrito “ocorreu um erro” mesmo com o aplicativo atualizado e tentando diversas vezes nao tenho sucesso em visualizar meu resumo de faturas
117,aplicativo sem conseguir acessar pagamento fica dando erro de conexao de internet e nao consegue acessar fatura para pagamento
118,nao sei oq houve de repente vou acessar o aplicativo e me deparo com ele deslogado ai pensei logo que tinham invadido minha conta acessando em outro dispositivo precisa melhorar essa seguranca fui alterar o email nao pedem uma confirmacao de token com o email atual e depois com o novo fora que essas operacoes o aplicativo nem solicita uma nova verificacao do faceid
119,ao meu ver existe uma falha extremamente grave de seguranca temos visto diversos casos de roubos de celular que geram uma dor de cabeca enorme aos usuarios no caso a recomendacao que vi frequentemente foi trocar para um email que nao tem vinculo com o celular o problema e que o nubank permite a alteracao do email no aplicativo sem nenhum tipo de validacao estou perdendo a confianca e pensando seriamente em trocar de banco da forma atual a pessoa com acesso ao aplicativo poderia colocar qualquer email na conta outra questao e a falta de posicionamento e orientacoes para evitar problemas
120,nao estou conseguindo acessar a minha fatura que vira agora no mes de junho nem depois da atualizacao consegui acessar corrijam esse erro pois falta menos de 10 dias para vencer a mesma
121,horrivel tenho entrar no aplicativo e nao consigo nunca tive acesso ao aplicativo pedem para confirmar o email o email chega confirmo e em seguida da erro e nao entra no aplicativo nao tem nenhum suporte ja fiz tudo que eles mandaram ja entrei no site busquei suporte no email tento entrar em contato mais nao resolvem o meu problema estou decepcionada
122,horrivel tive que reinstalar o aplicativo e agora nao consigo mais acessar minha conta o email de confirmacao nao chega para mim e a ouvidoria nao conseguiu me ajudar preciso de acesso urgente a minha conta
123,nubank e uma excelente opcao pra quem esta comecando a usar cartao de credito alem de zero anuidade voce consegue regular seu proprio limite com apenas um toque muito pratico pra quem busca limites mais alto necessita gastar uma boa fatia mensal do seu limite por pelo menos 3 meses so assim o software do banco entende que voce necessita de um limite maior nubank tem opcoes muito viaveis de seguro de vida recomendo o feed de tres estrelas e porque nubank nao tem vantagens tao legais como os outros cartoes de credito como por exemplo desconto iof acesso a salas vips de aeroporto cashback agora com novidade na modalidade nubank debito facilitou centralizar as financas em um unico banco 🤙
124,ja reinstalei tentei pela internet e nao feito liguei para o suporte que fica enrolando ate a ligacao cair e nao resolve estou sem acesso a conta e com dinheiro preso la dentro para honrar os meus compromissos
125,o uso do face id ou codigo de desbloqueio do aparelho nao torna uma camada tao segura uma vez que em um eventual roubo o criminoso pode pedir a senha ou desbloquear o aplicativo pelo reconhecimento do nosso rosto por gentileza adicione uma camada seguranca com senha que nao esteja vinculada ao dispositivo obrigado
126,mais uma versao e continuamos sendo obrigados a usar a biometria do celular para acessar o aplicativo vao resolver isso quando
127,espero que corrijam a opcao de pedir senha no aplicativo pois quando desativamos o face id para entrar no aplicativo o aplicativo fica totalmente vulneravel ao acesso no banco inter ao desativar o face id e necessario colocar a senha para entrar no aplicativo espero que seja corrigido obrigado
128,o aplicativo do nubank melhorou nos ultimos meses em relacao a seguranca contudo precisa aprimorar ainda mais as camadas de protecao por exemplo permitindo que o usuario cadastre uma senha de acesso especifica para abertura do aplicativo mesmo que a opcao de biometria esteja desativada na versao atual se o usuario desmarca a opcao de biometria nao e possivel definir uma senha para controle de acesso no celular sendo possivel abrir o aplicativo facilmente caso a tela esteja desbloqueada o ideal seria permitir o cadastro de uma senha de controle de acesso independente da senha de desbloqueio do celular e utilizavel mesmo que a opcao de biometria esteja desativada no aplicativo o que diminuiria a brecha de seguranca existente algo importante especialmente em caso de furtoroubo
129,apos as ultimas atualizacoes o aplicativo comecou a mostrar uma bolinha indicando que ha novas notificacoes o problema e que existem usuarios que nao querem ser avisados se eu ja recebi a notificacao push nao quero ser avisado que tenho uma nova notificacao que eu ja vi via push alem de tudo o fluxo pra acessar essas notificacoes e limpar o aviso e ruim ja que tenho que clicar no icone do perfil rolar a tela clicar em “notificacoes” e depois voltar duas telas pra chegar a home do aplicativo novamente
130,nu sou cliente antigo de voces e acho que poderiam considerar melhorias na seguranca como por exemplo pedir a senha do banco ao falhar o face id nao aceitando a senha do aparelho isso deixa uma falha muito grande ainda mais considerando o contexto brasileiro atual seguranca nunca e demais abraco
131,nao consigo mais abrir o aplicativo fica dizendo que houve um problema com os meus dados de usuarios sendo que alterei a senha 500 vezes ja e ja desinstalei ele e instalei de novo
132,nao estou conseguindo acessar minha conta preciso pagar boletos e estou com o dinheiro preso uma total falta de respeito com o cliente ja desinstalei e reinstalei novamente e ainda assim nao entro nem a fatura estou conseguindo acessar
133,estou com problemas para acessar minha fatura simplesmente nao abre diz para verificar minha internet mas a internet esta tudo certo ja tentei desinstalar e instalar de novo e continua a mesma coisa
134,nao to conseguindo baixar o aplicativo novamente pedi meu cartao ai coloco senha conversar certo fala pagamento incorreto
135,porque nao fazem a opcao de mais de uma conta por aparelho todos bancos possuem isso as vezes estamos sem acesso ao nosso celular por esquecer perda roubo ou precisamos ajudar pessoas minha mae que nao sabe mexer no aplicativo mas utiliza o cartao e mora longe e fico sem conseguir ajudar ai este mes vai ter que pagar a conta em atraso porque nao consegui ir la para imprimir o boleto
136,depois da atualizacao nao esta abrindo minha conta diz que a senha esta errada eu solicito o email de recuperacao de senha e quando vou finalizar da erro tenho dinheiro na conta arrumem isso ai que eu estou precisando utilizalo
137,nao consigo entrar na minha conta e nao estou recebendo o email pra atualizar uma nova senha resolva isso por favor
138,o aplicativo e otimo rapido e intuitivo falta apenas incluir uma opcao para desabilitar a biometria no login face id no caso do iphone pois se em uma situacao de assalto o bandido obrigar a fornecer a senha de desbloqueio do telefone ele acessara com facilidade a conta e realizara transacoes antes mesmo que seja possivel alterar a senha ou apagar os dados do telefone
139,as vexes da erro na entrada com a senha
140,otimo aplicativo e facil o acesso gostei muito
141,aplicativo tem um bug no momento de digitar a senha para pagamento ou pix o aplicativo informa que a senha esta errada e mantem na tela de digitar a senha porem a transacao ja foi feita o desenvolvedor me ajuda ai ne meu filho apresenta mensagem de erro e executa a operacao e ainda mantem o usuario na tela de senha
142,o aplicativo e bom porem as camadas de seguranca e questionavel eu nao quero usar face id para autenticar a entrada do aplicativo queria que o mesmo tivesse uma senha de acesso e a pedisse toda vez que entrasse no aplicativo como inter itau santander e afins o aplicativo no final te obriga a usar biometria isso e um perigo eu nao quero loja da nu eu quero seguranca e privacidade
143,uso o nubank ha 5 anos e gosto do servico mas o aplicativo poderia ser mais seguro poderia ter uma camada extra para acessar o aplicativo por exemplo alem do touchidfaceid o proprio aplicativo poderia exigir uma senha para acesso que fosse diferente da cadastrada no sistema do celular
144,nao estou conseguindo acessar o aplicativo
145,podia ter a opcao de deixar salvo o cpf e entrar com a digital como os outros aplicativo de bancoisso ia facilitar bastante a vida de quem tem que entrar no aplicativo com frequenciaficar toda vez tendo que digitar cpf e senha e meio que chato
146,o tempo todo da erro no reconhecimento facial consertem isso porque enche o saco esse tipo de erro se optei por essa funcao foi pra nao ter que digitar senha
147,esqueci minha senha do meu cartao nubank e perdir o cartao oque faco
148,pelo amor de deus adicionem senha propria pra desbloquear o aplicativo autenticacao pra alterar email e senha do cartao
149,eu gostaria que o aplicativo tivesse a possibilidade de configurar uma senha propria para abrir assim estariamos seguros num caso de roubo do celular so existe a possibilidade de usar a mesma senha de desbloqueio do celular
150,esta dica e para ser implementada na redefinicao de senha 1 no momento de solicitar a redefinicao deve solicitar a identificacao facial 11 nao confirmando a facial as etapas de redefinicao de senha nao e enviada 12 feito a confirmacao facial o aparelho celular atual e desautorizado e sera enviado as etapas de redefinicao de senha 13 o cliente recebera um email para iniciar as etapas de redefinicao de senha o cliente acessara este link e sera aberto o aplicativo do nubank e iniciara um contador de 2 horas regressivo obrigado a clicar no link para iniciar contador apos iniciar o contador o cliente pode sair do aplicativo 14 apos o contador chegar no valor de 0 minutos o cliente recebera um outro email com o link autorizando a redefinicao da senha 15 o cliente tera que autorizar o aparelho novamente apos redefinicao da senha desta forma criase mais barreiras de seguranca e qualquer estagiario de desenvolvimento consegue implementar esta funcionalidade visto que a mesma ja existe parcialmente quando se autoriza o aparelho por identificacao facil esta ideia criada por mim cria a verificacao de mais de duas etapas para redefinicao de senha com mais de duas camadas de protecao
151,o aplicativo parou de funcionar do nada ja fazem tres semanas que entro em contato e reclamo e nada resolve estou com valor em conta nao consigo fazer pagamentos nem pix nem transferencias e ainda para entrar no aplicativo tenho que desinstalar e instalar novamente toda vez que precisar acessar isso e um absurdo eu nao poder manusear o meu proprio dinheiro e ate agora nao resolveram nada como vcs irao proceder agora
152,pessimo estou tendo problemas para acessar minha conta nao consigo acessar de maneira nenhuma nem recuperar a senha espero que resolvam isso logo
153,se a pessoa perde a senha de acesso seria interessante levar pelo menos 24 horas para redefinir a senha pelo email aplicativo esta facil pra hackear
154,sempre que preciso transferir olhar o saldo e etc nunca abre o aplicativo sempre da erro isso atrapalha muito e me deixa cansada ao sempre precisar e nunca conseguir acessar resolvam por favor
155,existe uma feature de seguranca que esta me impossibilitando de acessar o aplicativo pede pra eu acessar com minha digital do celular porem minha digital deu problema e so acesso as coisa do telefone com senha e o nubank pede pra que toda vez que acesse use a digital
156,nao consigo acessar “meus cartoes”
157,consigo fazer 999 das coisas no aplicativo mesmo sendo cego e usando o voiceover faz uum bom tempo que nao reconhece a senha se usarmos o teclado bluetooth precisamos usar somente a tela ppara inserir a senha outra coiisa e que nao consigo colar o codigo copia e cola do pix com o voiceover nao sei se e so para mim mas nao tem a opcao de colar o que esta na area de transferencia
158,tenho acesso a conta normal uso so a conta atraves do pix porque meu cartao nunca chegou e olha que ja faz uns dois anos que criei a conta
159,depois da atualizacao nao consigo acessar eu tenho um iphone xr
160,o aplicativo pede a senha do seu celular para liberar o aplicativo assim quem sabe sua senha do celular tem acesso ao aplicativo deveria pedir a senha do aplicativo
161,a entrada no aplicativo digitando o cpf e muito ruim deveria ser atraves de senha e pronto
162,ja tem um tempo tinha esquecido porque da outra vez eu ate desisti toda vez que tento acessar minha conta pj o aplicativo da um monte de bug insuportavel fala que o certificado do servidor nao e mais valido me desliga do aplicativo pede pra fazer reconhecimento facial um lixo
163,facilidade no acesso facilidade em pagamentos e na descricao de todas as operacoes recebemos email sobre todas as acoes adoro
